NAME,Height,Easting,Northing
Battfjellet Formation,742.422,543227.596,8616477.238
Battfjellet Formation,737.093,543228.575,8616527.228
Battfjellet Formation,732.667,543228.298,8616577.220
Battfjellet Formation,737.006,543227.425,8616627.212
Battfjellet Formation,744.345,543226.553,8616677.205
Battfjellet Formation,760.357,543338.600,8617026.198
Battfjellet Formation,766.127,543330.417,8616977.193
Battfjellet Formation,762.435,543313.805,8616930.478
Battfjellet Formation,759.307,543292.228,8616885.374
Battfjellet Formation,761.033,543270.005,8616841.202
Battfjellet Formation,759.307,543290.413,8616886.214
Battfjellet Formation,762.435,543311.990,8616931.319
Battfjellet Formation,774.588,543328.540,8616978.050
Battfjellet Formation,760.357,543338.545,8617026.216
Battfjellet Formation,764.352,545010.472,8622032.513
Battfjellet Formation,761.285,544970.864,8622054.851
Battfjellet Formation,760.469,544935.644,8622090.341
Battfjellet Formation,744.621,544900.424,8622125.832
Battfjellet Formation,737.749,544865.204,8622161.322
Battfjellet Formation,724.654,544829.984,8622196.812
Battfjellet Formation,725.891,544794.764,8622232.302
Battfjellet Formation,704.197,544759.544,8622267.792
Battfjellet Formation,700.505,544724.324,8622303.282
Battfjellet Formation,708.521,544717.812,8622312.683
Battfjellet Formation,710.658,544753.033,8622277.193
Battfjellet Formation,714.224,544788.253,8622241.703
Battfjellet Formation,724.654,544823.473,8622206.213
Battfjellet Formation,744.318,544858.693,8622170.723
Battfjellet Formation,752.457,544893.913,8622135.232
Battfjellet Formation,747.252,544929.133,8622099.742
Battfjellet Formation,753.490,544964.353,8622064.252
Battfjellet Formation,762.834,545001.986,8622033.829
Battfjellet Formation,450.190,530954.950,8651740.882
Battfjellet Formation,449.855,530911.013,8651757.326
Battfjellet Formation,451.620,530864.974,8651776.833
Battfjellet Formation,451.269,530818.936,8651796.339
Battfjellet Formation,450.986,530772.898,8651815.846
Battfjellet Formation,453.434,530726.860,8651835.352
Battfjellet Formation,453.925,530680.822,8651854.858
Battfjellet Formation,455.429,530642.669,8651887.090
Battfjellet Formation,458.005,530604.725,8651919.651
Battfjellet Formation,456.331,530566.780,8651952.212
