Easting,Northing,Height
551863.536,8511294.730,
551862.663,8511344.722,
551861.790,8511394.715,
551863.676,8511444.622,
551867.623,8511494.466,
551871.570,8511544.310,
551875.517,8511594.154,
551879.464,8511643.998,
551883.410,8511693.842,
551886.821,8511743.703,
551885.948,8511793.695,
551885.076,8511843.687,
551884.203,8511893.680,
551883.330,8511943.672,
551882.458,8511993.665,
551880.541,8512043.526,
551869.069,8512092.192,
551857.596,8512140.858,
551846.124,8512189.524,
551834.651,8512238.190,
551817.979,8512284.016,
551783.231,8512319.968,
551748.482,8512355.920,
551713.733,8512391.872,
551678.985,8512427.824,
551629.281,8512427.648,
551579.288,8512426.775,
551545.684,8512391.400,
551513.421,8512353.202,
551481.157,8512315.005,
551448.894,8512276.807,
551416.630,8512238.609,
551384.367,8512200.411,
551352.008,8512162.294,
551319.448,8512124.350,
551286.887,8512086.405,
551254.326,8512048.461,
551221.765,8512010.516,
551184.849,8511978.592,
551138.572,8511959.659,
551092.295,8511940.726,
551046.018,8511921.793,
551004.151,8511896.827,
550972.069,8511858.477,
550939.987,8511820.127,
550907.905,8511781.777,
550882.150,8511741.042,
550880.940,8511691.057,
550879.731,8511641.071,
550878.522,8511591.086,
550877.312,8511541.101,
551153.917,8513406.710,
551113.390,8513430.342,
551071.310,8513457.347,
551029.230,8513484.351,
550987.549,8513511.933,
550947.500,8513541.867,
550907.451,8513571.801,
550867.401,8513601.736,
550827.352,8513631.670,
550787.303,8513661.604,
550747.253,8513691.538,
550707.204,8513721.472,
550667.155,8513751.407,
550627.106,8513781.341,
550587.056,8513811.275,
550548.003,8513842.479,
550509.380,8513874.233,
550470.758,8513905.987,
550432.136,8513937.741,
550393.514,8513969.495,
550354.891,8514001.249,
550316.269,8514033.003,
550273.726,8514054.486,
550223.768,8514056.551,
550173.811,8514058.615,
550123.853,8514060.680,
550085.341,8514032.411,
550049.198,8513997.861,
550013.055,8513963.311,
549981.025,8513926.360,
549968.713,8513877.900,
549956.401,8513829.439,
549944.089,8513780.979,
549931.777,8513732.519,
549927.059,8513683.456,
549931.578,8513633.660,
549936.096,8513583.865,
549940.615,8513534.070,
549945.133,8513484.274,
549949.652,8513434.479,
549954.170,8513384.683,
549958.689,8513334.888,
549963.207,8513285.092,
549948.556,8513237.607,
549932.291,8513190.326,
549916.027,8513143.046,
549899.762,8513095.765,
549882.234,8513049.339,
549843.742,8513017.428,
549805.250,8512985.517,
549762.273,8512965.628,
549712.280,8512964.755,
549663.822,8512973.070,
549616.849,8512990.202,
549569.876,8513007.334,
549523.453,8513001.646,
549477.360,8512982.269,
549431.267,8512962.893,
549402.830,8512934.874,
549415.801,8512886.586,
549428.773,8512838.298,
549441.744,8512790.009,
549454.716,8512741.721,
549467.687,8512693.433,
549483.624,8512646.256,
549505.556,8512601.322,
549527.488,8512556.389,
549549.420,8512511.456,
549510.822,8512489.638,
549464.155,8512474.066,
549416.075,8512487.787,
549367.994,8512501.508,
549319.914,8512515.229,
549271.833,8512528.950,
549224.699,8512544.414,
549187.372,8512577.682,
549150.046,8512610.950,
549112.720,8512644.217,
549073.965,8512675.692,
549033.201,8512704.645,
548992.436,8512733.598,
548951.672,8512762.551,
548910.908,8512791.504,
548870.144,8512820.457,
548829.379,8512849.410,
548867.954,8512824.465,
548908.719,8512795.512,
548949.483,8512766.559,
548990.247,8512737.606,
549031.011,8512708.653,
549071.776,8512679.700,
549110.820,8512648.589,
