Easting,Northing,Height
553976.400,8598231.907,551.938
554024.860,8598219.595,544.735
554073.214,8598208.070,537.295
554116.628,8598232.873,569.023
554160.043,8598257.676,582.885
554203.457,8598282.479,577.612
554246.871,8598307.282,573.953
554289.347,8598333.524,580.538
554329.520,8598363.291,579.303
554369.693,8598393.059,592.565
554409.867,8598422.826,588.071
554450.040,8598452.594,593.455
554465.469,8598496.126,592.258
554450.085,8598531.007,548.817
554432.744,8598536.195,546.875
554469.209,8598517.161,569.312
554465.103,8598467.330,593.455
554429.557,8598434.927,594.854
554389.384,8598405.160,581.455
554349.211,8598375.392,588.169
554309.037,8598345.625,571.376
554268.062,8598317.085,579.589
554224.648,8598292.282,585.634
554181.233,8598267.479,571.254
554137.819,8598242.676,568.912
554094.405,8598217.873,550.341
554048.437,8598211.542,548.006
553999.976,8598223.854,541.431
553951.516,8598236.166,554.646
553903.222,8598237.076,557.994
553855.143,8598223.352,549.666
553817.252,8598197.820,557.973
553796.640,8598152.267,554.037
553776.028,8598106.713,540.372
553748.236,8598065.851,551.208
553714.763,8598028.708,549.096
553681.290,8597991.565,579.997
553637.721,8597968.618,577.547
553591.628,8597949.242,575.665
552128.560,8597597.627,611.976
552165.863,8597630.778,618.415
552202.396,8597664.758,621.980
552233.730,8597703.722,625.851
552265.064,8597742.686,632.106
552296.398,8597781.650,628.131
552269.102,8597744.516,632.106
552237.768,8597705.552,625.851
552206.435,8597666.588,621.980
552170.418,8597632.111,617.123
552132.818,8597599.153,610.173
551074.478,8592313.432,
551109.323,8592278.384,
551143.834,8592242.203,
551178.344,8592206.023,
551212.855,8592169.842,
551247.365,8592133.662,
551281.876,8592097.481,
551316.386,8592061.301,
551350.897,8592025.120,
551386.087,8591989.602,
551421.366,8591954.171,
551456.645,8591918.740,
551491.924,8591883.308,
551527.204,8591847.877,
551562.483,8591812.446,
551598.236,8591777.548,
551637.586,8591746.701,
551676.936,8591715.853,
551716.287,8591685.006,
551758.326,8591661.191,
551808.218,8591657.909,
551858.110,8591654.627,
551908.003,8591651.345,
551957.895,8591648.063,
552007.859,8591646.438,
552057.848,8591645.388,
552107.837,8591644.339,
552157.826,8591643.289,
552207.815,8591642.240,
552255.354,8591656.459,
552302.505,8591673.096,
552349.656,8591689.733,
552388.221,8591715.578,
552408.114,8591761.450,
552426.912,8591807.568,
552428.537,8591857.542,
552430.162,8591907.516,
552431.787,8591957.489,
552432.647,8592007.468,
552431.774,8592057.461,
552430.902,8592107.453,
552420.859,8592155.513,
552390.693,8592192.828,
552349.505,8592221.175,
552302.045,8592235.545,
552256.941,8592257.122,
552262.142,8592256.851,
552307.247,8592235.274,
552354.341,8592220.275,
552395.529,8592191.927,
552423.997,8592153.209,
552432.947,8592104.912,
552433.819,8592054.920,
552434.692,8592004.927,
552433.705,8591954.949,
552432.080,8591904.975,
552430.455,8591855.002,
552428.831,8591805.028,
552409.264,8591759.076,
552389.372,8591713.203,
552350.294,8591687.837,
552303.143,8591671.200,
552255.992,8591654.564,
552208.466,8591640.226,
552158.477,8591641.275,
552108.488,8591642.325,
552058.499,8591643.374,
552008.510,8591644.423,
551958.545,8591646.016,
551908.652,8591649.298,
551858.760,8591652.580,
551808.868,8591655.862,
551758.976,8591659.144,
551716.625,8591682.199,
551677.275,8591713.047,
551637.925,8591743.894,
551598.575,8591774.742,
551562.648,8591809.445,
551527.369,8591844.876,
551492.090,8591880.308,
551456.811,8591915.739,
551421.531,8591951.170,
551386.252,8591986.602,
551351.027,8592022.086,
551316.517,8592058.266,
551282.006,8592094.447,
551247.496,8592130.627,
551212.985,8592166.808,
551178.475,8592202.988,
551143.964,8592239.169,
551109.454,8592275.349,
551074.944,8592311.530,
555004.551,8592544.652,
555053.730,8592535.976,
555102.705,8592526.297,
555148.743,8592506.791,
555190.275,8592482.184,
555214.980,8592438.713,
555239.685,8592395.243,
555206.438,8592368.500,
555157.170,8592360.257,
555107.803,8592352.323,
555058.276,8592345.769,
555008.409,8592342.124,
554958.542,8592338.480,
554908.675,8592334.836,
554860.822,8592348.585,
554820.940,8592368.346,
554832.219,8592417.058,
554860.985,8592453.438,
554903.187,8592480.251,
554945.390,8592507.064,
554987.592,8592533.878,
554850.278,8592353.993,
554897.981,8592339.012,
554947.502,8592339.679,
554997.369,8592343.323,
555047.236,8592346.967,
555096.872,8592352.592,
555146.239,8592360.526,
555195.605,8592368.459,
555240.879,8592388.735,
555216.420,8592432.133,
555191.715,8592475.603,
555152.664,8592502.958,
555106.626,8592522.464,
555057.959,8592533.174,
555008.766,8592542.123,
554966.070,8592517.834,
554923.868,8592491.021,
554881.665,8592464.208,
554839.463,8592437.395,
554827.770,8592388.977,
553851.329,8592466.736,
553850.239,8592516.678,
553862.374,8592559.072,
553909.157,8592572.602,
553952.444,8592556.338,
553986.746,8592520.062,
554013.814,8592479.357,
554021.747,8592429.991,
554023.548,8592380.080,
554009.437,8592337.683,
553968.129,8592346.578,
553927.203,8592375.215,
553895.292,8592413.707,
553863.381,8592452.200,
553955.107,8592357.968,
553996.292,8592331.017,
554021.768,8592367.494,
554020.895,8592417.487,
554013.786,8592466.926,
553992.350,8592510.170,
553958.946,8592547.278,
553918.549,8592570.766,
553870.770,8592561.199,
553852.132,8592522.799,
553853.005,8592472.807,
553881.772,8592433.150,
553913.683,8592394.657,
552075.084,8593202.840,
552106.596,8593239.268,
552124.156,8593283.808,
552131.514,8593333.263,
552086.656,8593351.859,
552054.251,8593366.025,
552101.124,8593348.621,
552131.768,8593321.385,
552124.410,8593271.929,
552100.906,8593230.232,
550487.942,8592316.100,
550532.869,8592331.472,
550580.804,8592345.692,
550628.739,8592359.913,
550675.916,8592375.521,
550713.763,8592408.196,
550701.971,8592395.374,
550661.469,8592367.537,
550613.534,8592353.316,
550565.599,8592339.095,
550517.664,8592324.874,
553357.971,8608891.100,518.820
553388.413,8608928.872,525.768
553420.753,8608966.935,532.340
553424.721,8608970.595,527.459
553393.552,8608931.763,534.526
553360.868,8608893.924,518.820
553543.141,8607622.325,526.243
553586.330,8607601.883,527.323
553630.636,8607578.710,537.703
553674.942,8607555.537,546.924
553720.375,8607535.967,549.482
553769.989,8607529.761,564.736
553819.602,8607523.555,588.077
553869.215,8607517.349,603.628
553918.829,8607511.143,597.797
553966.037,8607520.266,579.568
554011.366,8607541.367,576.751
554056.696,8607562.468,569.836
554102.025,8607583.570,579.029
554147.354,8607604.671,587.026
554192.683,8607625.772,585.620
554229.697,8607648.426,600.238
554195.040,8607684.467,590.107
554160.383,8607720.507,559.006
554125.726,8607756.547,536.220
554128.531,8607756.516,536.220
554163.188,8607720.476,559.006
554197.844,8607684.436,590.107
554232.501,8607648.395,593.604
554195.999,8607625.110,585.620
554150.670,8607604.008,577.765
554105.341,8607582.907,579.029
554060.011,8607561.806,569.836
554014.682,8607540.705,576.751
553969.353,8607519.603,579.568
553922.411,8607508.679,581.734
553872.797,8607514.885,604.796
553823.184,8607521.092,588.077
553773.571,8607527.298,572.893
553723.957,8607533.504,549.482
553678.071,8607551.644,546.924
553633.765,8607574.817,537.703
553589.459,8607597.990,527.323
553545.153,8607621.163,526.243
552988.255,8612143.100,609.665
553022.298,8612106.599,595.041
553063.960,8612082.287,589.544
553111.864,8612067.961,599.795
553159.767,8612053.635,603.795
553207.671,8612039.308,586.757
553255.575,8612024.982,578.745
553303.478,8612010.656,587.529
553351.382,8611996.329,583.908
553399.285,8611982.003,562.486
553448.984,8611976.913,577.566
553498.767,8611972.260,571.470
553548.550,8611967.607,557.474
553598.333,8611962.953,565.388
553648.116,8611958.300,574.800
553697.836,8611953.760,589.335
553717.771,8611988.639,602.371
553690.418,8611952.337,589.335
553640.635,8611956.990,574.800
553590.852,8611961.644,565.388
553541.069,8611966.297,557.474
553491.286,8611970.951,571.470
553441.503,8611975.604,577.566
553392.072,8611982.073,562.486
553344.169,8611996.399,580.712
553296.265,8612010.725,587.529
553248.361,8612025.052,579.795
553200.458,8612039.378,586.757
553152.554,8612053.704,603.795
553104.650,8612068.031,596.279
553056.747,8612082.357,589.544
553016.866,8612109.546,595.041
553898.622,8620399.042,620.756
553946.049,8620383.740,675.500
553993.482,8620367.924,710.963
554040.915,8620352.109,718.578
554088.348,8620336.293,706.816
554137.786,8620330.270,700.991
554187.617,8620326.164,682.813
554237.448,8620322.058,679.183
554287.279,8620317.951,677.981
554337.111,8620313.845,688.720
554386.942,8620309.739,679.745
554436.808,8620306.709,699.087
554486.800,8620307.581,703.288
554536.792,8620308.454,717.771
554586.785,8620309.327,717.194
554627.615,8620331.270,685.096
554662.348,8620367.237,651.200
554670.276,8620413.763,659.222
554669.403,8620463.756,682.004
554648.324,8620507.769,662.862
554663.850,8620486.666,686.346
554671.840,8620438.764,664.504
554672.712,8620388.771,642.650
554647.519,8620349.002,668.335
554612.786,8620313.035,679.767
554565.016,8620306.946,720.550
